shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
shm_addr = 7000
======================================
 all_ops == 1000000
 test_time == 12.694280
 Throughput == 78775.637531
 ======================================
10        Threads
1         Connections per thread
100000    Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets        79610.01          ---          ---      0.12500     83410.73 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals      79610.01         0.00         0.00      0.12500     83410.73 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.025         0.00
SET       0.027         0.00
SET       0.028         0.00
SET       0.029         0.00
SET       0.030         0.01
SET       0.031         0.02
SET       0.032         0.04
SET       0.033         0.08
SET       0.034         0.11
SET       0.035         0.13
SET       0.036         0.16
SET       0.037         0.18
SET       0.038         0.20
SET       0.039         0.22
SET       0.040         0.23
SET       0.041         0.25
SET       0.042         0.28
SET       0.043         0.37
SET       0.044         0.48
SET       0.045         0.57
SET       0.046         0.62
SET       0.047         0.65
SET       0.048         0.70
SET       0.049         0.75
SET       0.050         0.81
SET       0.051         0.86
SET       0.052         0.90
SET       0.053         0.94
SET       0.054         0.99
SET       0.055         1.08
SET       0.056         1.19
SET       0.057         1.34
SET       0.058         1.49
SET       0.059         1.58
SET       0.060         1.64
SET       0.061         1.70
SET       0.062         1.77
SET       0.063         1.83
SET       0.064         1.90
SET       0.065         1.95
SET       0.066         2.00
SET       0.067         2.05
SET       0.068         2.13
SET       0.069         2.25
SET       0.070         2.40
SET       0.071         2.57
SET       0.072         2.75
SET       0.073         2.95
SET       0.074         3.16
SET       0.075         3.43
SET       0.076         3.76
SET       0.077         4.14
SET       0.078         4.60
SET       0.079         5.12
SET       0.080         5.72
SET       0.081         6.38
SET       0.082         7.14
SET       0.083         7.95
SET       0.084         8.81
SET       0.085         9.74
SET       0.086        10.76
SET       0.087        11.92
SET       0.088        13.26
SET       0.089        14.82
SET       0.090        16.62
SET       0.091        18.63
SET       0.092        20.80
SET       0.093        23.03
SET       0.094        25.31
SET       0.095        27.58
SET       0.096        29.92
SET       0.097        32.24
SET       0.098        34.52
SET       0.099        36.65
SET       0.100        45.28
SET       0.110        57.87
SET       0.120        69.52
SET       0.130        80.14
SET       0.140        89.17
SET       0.150        94.75
SET       0.160        97.38
SET       0.170        98.58
SET       0.180        99.18
SET       0.190        99.46
SET       0.200        99.60
SET       0.210        99.68
SET       0.220        99.73
SET       0.230        99.76
SET       0.240        99.78
SET       0.250        99.79
SET       0.260        99.80
SET       0.270        99.82
SET       0.280        99.83
SET       0.290        99.84
SET       0.300        99.86
SET       0.310        99.86
SET       0.320        99.87
SET       0.330        99.88
SET       0.340        99.88
SET       0.350        99.89
SET       0.360        99.89
SET       0.370        99.89
SET       0.380        99.89
SET       0.390        99.90
SET       0.400        99.90
SET       0.410        99.90
SET       0.420        99.90
SET       0.430        99.90
SET       0.440        99.90
SET       0.450        99.91
SET       0.460        99.91
SET       0.470        99.91
SET       0.480        99.91
SET       0.490        99.91
SET       0.500        99.91
SET       0.510        99.91
SET       0.520        99.91
SET       0.530        99.91
SET       0.540        99.91
SET       0.550        99.92
SET       0.560        99.92
SET       0.570        99.92
SET       0.580        99.92
SET       0.590        99.92
SET       0.600        99.92
SET       0.610        99.92
SET       0.620        99.92
SET       0.630        99.92
SET       0.640        99.92
SET       0.650        99.92
SET       0.660        99.92
SET       0.670        99.92
SET       0.680        99.92
SET       0.690        99.92
SET       0.700        99.92
SET       0.710        99.92
SET       0.720        99.92
SET       0.740        99.92
SET       0.750        99.92
SET       0.760        99.92
SET       0.770        99.92
SET       0.780        99.92
SET       0.790        99.93
SET       0.800        99.93
SET       0.810        99.93
SET       0.820        99.93
SET       0.830        99.93
SET       0.840        99.93
SET       0.850        99.93
SET       0.860        99.93
SET       0.870        99.93
SET       0.880        99.93
SET       0.890        99.93
SET       0.900        99.93
SET       0.910        99.93
SET       0.920        99.93
SET       0.930        99.93
SET       0.940        99.93
SET       0.950        99.93
SET       0.960        99.93
SET       0.970        99.93
SET       0.980        99.93
SET       0.990        99.93
SET       1.000        99.93
SET       1.100        99.94
SET       1.200        99.94
SET       1.300        99.94
SET       1.400        99.94
SET       1.500        99.94
SET       1.600        99.94
SET       1.700        99.94
SET       1.800        99.94
SET       1.900        99.94
SET       2.000        99.95
SET       2.100        99.95
SET       2.200        99.95
SET       2.300        99.95
SET       2.400        99.95
SET       2.600        99.95
SET       2.700        99.95
SET       2.800        99.96
SET       2.900        99.96
SET       3.000        99.96
SET       3.300        99.96
SET       3.400        99.96
SET       3.500        99.96
SET       3.900        99.96
SET       4.000        99.96
SET       4.800        99.96
SET       5.200        99.96
SET       6.000        99.96
SET       6.100        99.96
SET       6.200        99.96
SET       6.300        99.96
